,SCs,Tc
1,Hg0.85Re0.15Ba2Ca2Cu3O8,132.9
2,Hg0.8Pb0.2Ba2Ca2Cu3O8,132
3,Hg0.85Re0.15Ba1.66Sr0.34Ca2Cu3O8,131.3
4,Hg0.85Re0.15Ba1.6Sr0.4Ca2Cu3O8,130.3
5,Hg0.9Pb0.1Ba2Ca2Cu3O8,130
6,Hg0.85Re0.15Ba1.44Sr0.56Ca2Cu3O8,128.7
7,Tl2Ba2Ca1Cu2O7.833,112
8,Tl2Ba2Ca1Cu2O7.876,110
9,Tl2Ba2Ca1Cu2O7,108
10,Tl2Ba2Ca1Cu2O7.946,107
11,Tl2Ba2Ca1Cu2O7.958,107
12,Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2
13,Tl2Ba2Ca0.8Ce0.2Cu2O8,103
14,Tl1Ba2Ca0.65Y0.35Cu2O7,102
15,Tl2Ba2Ca0.9Ce0.1Cu2O8,100
16,Tl1Ba2Ca0.8Nd0.2Cu2O6.86,100
17,Tl0.5Pb0.5Sr2Ca0.9Y0.1Cu2O7,99.3
18,Sr1.4Ba0.6Cu1O3.4,98
19,Tl1Ba2Ca0.8Y0.2Cu2O7,97.6
20,Hg0.95Re0.05Ba2Cu1O4.372,97
21,Hg0.9Re0.1Ba2Cu1O4.425,96.8
22,Hg0.85Re0.15Ba2Cu1O4.53,96.3
23,Tl1Ba2Ca0.8Nd0.2Cu2O7,96.3
24,Hg0.85Re0.15Ba2Cu1O4.525,96.3
25,Hg0.95Re0.05Ba2Cu1O4.37,96
26,Tl1Ba2Ca0.6Y0.4Cu2O7,95.8
27,Tl1Ba2Ca0.7Nd0.3Cu2O7,95.5
28,Nd1Ba2Cu3O7.16,95.3
29,Tl2Ba2Ca1Cu2O7.978,95
30,Nd1Ba2Cu3O6.82,95
31,Eu1Ba2Cu3O7.1,94.9
32,Hg0.85Re0.15Ba2Cu1O4.52,94.8
33,Eu1Ba2Cu3O6.97,94.77
34,Hg0.9Re0.1Ba2Cu1O4.41,94.5
35,Hg0.9Re0.1Ba2Cu1O4.42,94.4
36,Y1Ba2Cu2.95Co0.05O6.92,94.3
37,Gd1Ba2Cu3O6.98,94.2
38,Bi2Sr1.9Y0.1Ca1Cu2O8.24,94
39,Dy1Ba2Cu3O6.75,94
40,Nd1Ba2Cu3O6.76,94
41,Eu1Ba2Cu3O6.82,94
42,Eu1Ba2Cu3O6.88,94
43,Sm1Ba2Cu3O6.944,94
44,Er0.97Pr0.03Ba2Cu3O7,93.9
45,Y0.2Eu0.8Ba2Cu3O7,93.8
46,Y1Ba1.7Cs0.3Cu3O6.6,93.75
47,Hg0.85Re0.15Ba2Cu1O4.55,93.7
48,Hg0.85Re0.15Ba2Cu1O4.49,93.7
49,Y0.95La0.05Ba2Cu3O6.58,93.65
50,Eu1Ba2Cu3O6.94,93.6
51,Tl1Ba2Ca0.8Gd0.2Cu2O7,93.6
52,Y1Ba1.9Cs0.1Cu3O6.65,93.45
53,Y1Ba2Cu2.98Co0.02O6.9,93.4
54,Y1Ba1.9Rb0.1Cu3O6.52,93.35
55,Y1Ba1.8Cs0.2Cu3O6.58,93.3
56,Y0.5Cd0.5Ba2Cu3O7,93.2
57,Y1Ba2Cu3H1O7,93.2
58,Gd0.97Pr0.03Ba2Cu3O7,93.1
59,Nd1Ba2Cu3O6.84,93
60,La1Ba2Cu3O6.85,93
61,Y1Ba1.8K0.2Cu3O6.57,93
62,Er1Ba2Cu3O6.85,93
63,Tl1Sr2Ca0.2Y0.8Cu2O6.97,93
64,Bi1.2Pb0.8Sr2Ca1Cu2O8,93
65,Gd1Ba2Cu3O6.89,92.9
66,Y1Ba1.7K0.3Cu3O6.54,92.85
67,Yb1Ba2Cu3O6.9,92.8
68,Y0.7Cd0.3Ba2Cu3O7,92.8
69,Y0.8Cd0.2Ba2Cu3O7,92.8
70,Dy1Ba2Cu3O6.82,92.7
71,Y1Ba1.9K0.1Cu3O6.61,92.7
72,Y0.6Eu0.4Ba2Cu3O7,92.6
73,Bi2Sr2Ca0.8Y0.2Cu2O8.27,92.6
74,Bi2Sr2Ca1Cu1.988Ni0.012O8,92.55
75,Tm1Ba2Cu3O6.65,92.5
76,Y0.95Cs0.05Ba2Cu3O6.61,92.45
77,Gd1Ba2Cu3O6.99,92.45
78,Y1Ba2Cu3O6.906,92.4
79,Er1Ba2Cu3O6.82,92.4
80,Y0.9Rb0.1Ba2Cu3O6.42,92.4
81,Y0.9La0.1Ba2Cu3O6.62,92.35
82,Dy1Ba2Cu3O6.9,92.3
83,Y1.2Ba1.8Cu3O6.68,92.3
84,Y1Ba2Cu2.94Zr0.06O6.81,92.3
85,Y1Ba2Cu3O6.962,92.15
86,Y0.9K0.1Ba2Cu3O6.51,92.05
87,Y0.95Rb0.05Ba2Cu3O6.59,92.05
88,Tl0.5Pb0.5Sr2Ca0.65Y0.35Cu2O7,92
89,Tl1Sr2Ca0.3Y0.7Cu2O6.97,92
90,Y1Ba2Cu2.925Co0.075O6.97,92
91,Eu1Ba2Cu3O6.5,92
92,Y1Ba1Sr1Cu3O6.9,92
93,Bi2Sr2Ca0.8Y0.2Cu2O8.26,92
94,Gd1Ba2Cu3O6.758,92
95,Nd1.1Ba1.9Cu3O6.9,92
96,Tl1Sr2Ca0.5Y0.5Cu2O6.89,92
97,Tl1Sr2Ca0.4Y0.6Cu2O6.93,92
98,Y1Re0.05Ba2Cu2.95O7.02,92
99,Y1Ba2Cu2.97Co0.03O6.96,92
100,Gd1Ba2Cu3O6.9,92
101,Y1Re0.05Ba2Cu2.95O7.04,92
102,Y1Ba2Cu2.9Al0.1O6.93,92
103,Er1Ba2Cu3O6.91,92
104,Y0.85Rb0.15Ba2Cu3O6.48,91.95
105,Y1Ba2Cu3O6.955,91.8
106,Y1Ba2Cu2.95Fe0.05O6.92,91.8
107,Tl1Ba2Ca0.9Gd0.1Cu2O7,91.8
108,Y1Ba1.96Sr0.04Cu3O6.98,91.8
109,Y1Ba2Cu3O6.939,91.8
110,Y1Ba2Cu3O6.93,91.7375
111,Y0.4Cd0.6Ba2Cu3O7,91.7
112,Y0.95Sc0.05Ba2Cu3O6.63,91.7
113,Nd1Ba2Cu3O6.81,91.7
114,Y0.6Cd0.4Ba2Cu3O7,91.7
115,Y0.95Pr0.05Ba2Cu3O6.97,91.5
116,Nd1Ba2Cu3O6.93,91.5
117,Y0.975Ca0.025Ba2Cu3O6.95,91.5
118,Y0.95Pr0.05Ba2Cu3O6.95,91.5
119,Y1Ba2Cu2.96Co0.04O7,91.5
120,Y1Re0.1Ba2Cu2.9O7,91.5
121,Y1Ba1.9K0.1Cu3O6.9,91.5
122,Y1Re0.15Ba2Cu2.85O7.07,91.5
123,Er1Ba2Cu3O6.94,91.5
124,Y0.9Sc0.1Ba2Cu3O6.56,91.4
125,Dy0.95Pr0.05Ba2Cu3O6.9,91.4
126,Y0.2Yb0.8Ba2Cu3O6.91,91.4
127,Y1Ba2Cu2.955Fe0.045O6.93,91.4
128,Y0.9Cs0.1Ba2Cu3O6.47,91.3
129,Y1.1Ba1.9Cu3O6.65,91.25
130,Y1Ba2Cu2.95Co0.05O6.88,91.2
131,Y1Ba2Cu3O6.951,91.19
132,Bi2Sr1.8Ca1Lu0.2Cu2O8.27,91.1
133,Sm1Ba2Cu3O6.878,91.1
134,Y1Ba2Cu3O6.821,91.1
135,Nd1Ba1.8Sr0.2Cu3O6.96,91.1
136,Y0.4Yb0.6Ba2Cu3O6.93,91.1
137,Er0.924Pr0.076Ba2Cu3O7,91.1
138,Y1Ba1.7Rb0.3Cu3O6.52,91.05
139,Y1Ba2Cu2.94Fe0.06O7.254,91
140,Bi1.4Pb0.6Sr2Ca1Cu2O8,91
141,Y1Re0.15Ba2Cu2.85O7.17,91
142,Er1Ba2Cu3O6.93,91
143,Nd1Ba2Cu3O6.98,91
144,Gd1Ba2Cu3O6.969,91
145,Y0.9La0.1Ba2Cu3O6.97,91
146,Y1Re0.1Ba2Cu2.9O7.09,91
147,Y1Ba2Cu3O6.957,91
148,Sm1Ba2Cu3O6.86,91
149,Tl2Ba2Ca1Cu2O7.984,91
